,annualChangeInCashSupplementalAsReported,quarterlyChangesInAccountReceivables,annualDilutedAverageShares,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,quarterlyNetOtherInvestingChanges,trailingChangeInCashSupplementalAsReported,annualGrossPPE,trailingNetIncomeCommonStockholders,annualBeginningCashPosition,annualRepaymentOfDebt,quarterlyChangeInInventory,annualOtherNonCurrentLiabilities,quarterlyOtherIntangibleAssets,annualInterestExpense,quarterlyOperatingExpense,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlySaleOfInvestment,annualOtherIncomeExpense,quarterlyDilutedEPS,trailingCapitalExpenditure,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,trailingGrossProfit,annualCapitalExpenditure,annualSellingGeneralAndAdministration,quarterlyCashCashEquivalentsAndMarketableSecurities,annualTotalNonCurrentAssets,trailingDeferredIncomeTax,quarterlyStockholdersEquity,trailingRepaymentOfDebt,quarterlyCapitalStock,quarterlyBeginningCashPosition,annualCashFlowFromContinuingFinancingActivities,annualDilutedEPS,quarterlyAccountsPayable,trailingInterestExpense,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,annualNetOtherFinancingCharges,quarterlyEbitda,annualChangeInInventory,quarterlyNetPPE,trailingChangeInInventory,trailingNetOtherFinancingCharges,trailingTaxProvision,quarterlyTotalRevenue,quarterlyCommonStockIssuance,annualInventory,annualBasicAverageShares,quarterlyCapitalExpenditure,trailingDepreciationAndAmortization,annualNetIncomeContinuousOperations,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,annualCurrentDeferredRevenue,trailingOtherNonCashItems,annualCapitalStock,annualPurchaseOfBusiness,annualCostOfRevenue,annualCurrentDebt,quarterlyBasicAverageShares,quarterlyRepurchaseOfCapitalStock,annualGrossProfit,quarterlyGrossPPE,annualOperatingExpense,quarterlyPretaxIncome,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyRetainedEarnings,annualDeferredIncomeTax,trailingFreeCashFlow,trailingOperatingExpense,annualAccumulatedDepreciation,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCashItems,trailingCostOfRevenue,annualChangesInAccountReceivables,annualChangeInWorkingCapital,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,trailingNetIncomeContinuousOperations,quarterlyDeferredIncomeTax,annualNonCurrentDeferredTaxesLiabilities,annualTotalLiabilitiesNetMinorityInterest,quarterlyTaxProvision,trailingCashDividendsPaid,trailingBeginningCashPosition,trailingNetIncome,quarterlyNonCurrentDeferredRevenue,trailingPurchaseOfBusiness,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyTotalNonCurrentAssets,quarterlyAccountsReceivable,annualRetainedEarnings,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,annualNetOtherInvestingChanges,quarterlyOtherShortTermInvestments,trailingNetOtherInvestingChanges,annualCashDividendsPaid,annualPretaxIncome,quarterlyLongTermDebt,trailingChangeInWorkingCapital,quarterlyFreeCashFlow,annualAccountsReceivable,quarterlyBasicEPS,annualNetIncome,annualFreeCashFlow,annualCommonStockIssuance,quarterlyTotalAssets,annualInvestingCashFlow,quarterlyNetIncome,annualOperatingIncome,quarterlyNetIncomeContinuousOperations,trailingSaleOfInvestment,quarterlyDepreciationAndAmortization,trailingCommonStockIssuance,annualTotalRevenue,annualPurchaseOfInvestment,trailingChangeInAccountPayable,quarterlyOtherNonCurrentLiabilities,trailingInvestingCashFlow,annualAccountsPayable,annualStockholdersEquity,annualLongTermDebt,trailingTotalRevenue,annualOtherNonCashItems,quarterlySellingGeneralAndAdministration,annualOtherCurrentAssets,annualNonCurrentDeferredRevenue,annualTaxProvision,annualTotalAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualEndCashPosition,annualCurrentAccruedExpenses,annualCurrentLiabilities,quarterlyInventory,quarterlyPurchaseOfInvestment,trailingCashFlowFromContinuingFinancingActivities,trailingEndCashPosition,annualDepreciationAndAmortization,quarterlyOtherIncomeExpense,annualCashAndCashEquivalents,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetOtherFinancingCharges,trailingOperatingCashFlow,quarterlyInvestmentsAndAdvances,quarterlyNetIncomeCommonStockholders,annualSaleOfInvestment,annualInvestmentsAndAdvances,quarterlyGrossProfit,trailingOtherIncomeExpense,quarterlyInvestingCashFlow,quarterlyChangeInAccountPayable,quarterlyEndCashPosition,trailingOperatingIncome,annualOtherNonCurrentAssets,annualNetPPE,annualGainsLossesNotAffectingRetainedEarnings,annualOtherShortTermInvestments,quarterlyCashDividendsPaid,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,annualOperatingCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTotalLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,quarterlyOtherNonCurrentAssets,annualEbitda,quarterlyDilutedAverageShares,annualCurrentAssets,annualRepurchaseOfCapitalStock,trailingPretaxIncome,annualBasicEPS,annualIncomeTaxPayable,quarterlyStockBasedCompensation,annualGoodwill,annualResearchAndDevelopment,trailingStockBasedCompensation,trailingSellingGeneralAndAdministration,quarterlyResearchAndDevelopment,trailingBasicAverageShares,trailingRepurchaseOfCapitalStock,trailingBasicEPS,trailingChangesInAccountReceivables,trailingPurchaseOfInvestment,annualStockBasedCompensation,quarterlyIncomeTaxPayable,trailingDilutedEPS,trailingDilutedAverageShares,trailingResearchAndDevelopment,quarterlyGoodwill
670377600,,,,,,,,,,,,,,,,,,,,0.246914,,,,,,,,,,,,,,,,,,,,,140100000.0,,,,,,140100000.0,,,,,,,,,,,,,,,61965020.0,,,,,,,,,,,,,,,,,,,140100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.246914,,,,,,15500000.0,,15500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15300000.0,,,,,,,,,,,,,,,,,,,,,,61965020.0,,,,,,,,,,,,,,,,,,,,,,
678240000,,,,,,,,,,,,,,,,,,,,-0.035591,,,,,,,,,,,,,,,,,,,,,56900000.0,,,,,,56900000.0,,,,,,,,,,,,,,,61813380.0,,,,,,,,,,,,,,,,,,,56900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.035591,,,,,,-2000000.0,,-2000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2200000.0,,,,,,,,,,,,,,,,,,,,,,61813380.0,,,,,,,,,,,,,,,,,,,,,,
686188800,,,61745446.0,11400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.184629,,,,,,46300000.0,,,,,,46300000.0,,,61745446.0,,,12400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,46300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12400000.0,,,,,-5400000.0,334900000.0,-5400000.0,,,,334900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5700000.0,,,,,,,,,,,,,,,,,,,,,334900000.0,,,,,0.184629,,,,,,,,,,,,,,,,,,
694137600,,,,,,,,,,,,,,,,,,,,0.106774,,,,,,,,,,,,,,,,,,,,,108800000.0,,,,,,108800000.0,,,,,,,,,,,,,,,63686214.0,,,,,,,,,,,,,,,,,,,108800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.106774,,,,,,7400000.0,,7400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6800000.0,,,,,,,,,,,,,,,,,,,,,,63686214.0,,,,,,,,,,,,,,,,,,,,,,
702000000,,,,,,,,,,,,,,,,,,,,0.318096,,,,,,,,,,,,,,,,,,,,,174600000.0,,,,,,174600000.0,,,,,,,,,,,,,,,64131684.0,,,,,,,,,,,,,,,,,,,174600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.318096,,,,,,21000000.0,,21000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20400000.0,,,,,,,,,,,,,,,,,,,,,,64131684.0,,,,,,,,,,,,,,,,,,,,,,
709862400,,,,,,,,,,,,,,,,,,,,0.015571,,,,,,,,,,,,,,,,,,,,,74900000.0,,,,,,74900000.0,,,,,,,,,,,,,,,64221951.0,,,,,,,,,,,,,,,,,,,74900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015571,,,,,,1600000.0,,1600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,64221951.0,,,,,,,,,,,,,,,,,,,,,,
717811200,,,64143154.0,23400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.364809,,,,,,53900000.0,,,,,,53900000.0,,,64143154.0,,,25900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,53900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25900000.0,,,,,-4000000.0,412300000.0,-4000000.0,,,,412300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4600000.0,,,,,,,,,,,,,,,,,,,,,412300000.0,,,,,0.364809,,,,,,,,,,,,,,,,,,
725760000,,,,,,,,,,,,,,,,,,,,0.135691,,,,,,,,,,,,,,,,,,,,,132400000.0,,,,,,132400000.0,,,,,,,,,,,,,,,73696855.0,,,,,,,,,,,,,,,,,,,132400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.135691,,,,,,10600000.0,,10600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000000.0,,,,,,,,,,,,,,,,,,,,,,73696855.0,,,,,,,,,,,,,,,,,,,,,,
733536000,,,,,,,,,,,,,,,,,,,,0.304749,,,,,,,,,,,,,,,,,,,,,189200000.0,,,,,,189200000.0,,,,,,,,,,,,,,,72190557.0,,,,,,,,,,,,,,,,,,,189200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.304749,,,,,,22600000.0,,22600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22000000.0,,,,,,,,,,,,,,,,,,,,,,72190557.0,,,,,,,,,,,,,,,,,,,,,,
741398400,,,,,,,,,,,,,,,,,,,,0.013347,,,,,,,,,,,,,,,,,,,,,75400000.0,,,,,,75400000.0,,,,,,,,,,,,,,,74926011.0,,,,,,,,,,,,,,,,,,,75400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013347,,,,,,1400000.0,,1400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,74926011.0,,,,,,,,,,,,,,,,,,,,,,
749347200,,,78602367.0,28500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.362585,,,,,,57700000.0,,,,,,57700000.0,,,78123073.0,,,30500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,57700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30500000.0,,,,,-4600000.0,454700000.0,-4600000.0,,,,454700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5000000.0,,,,,,,,,,,,,,,,,,,,,454700000.0,,,,,0.364809,,,,,,,,,,,,,,,,,,
757296000,,,,,,,,,,,,,,,,,,,,0.151262,,,,,,,,,,,,,,,,,,,,,136100000.0,,,,,,136100000.0,,,,,,,,,,,,,,,76027026.0,,,,,,,,,,,,,,,,,,,136100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.151262,,,,,,11900000.0,,10900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11500000.0,,,,,,,,,,,,,,,,,,,,,,76027026.0,,,,,,,,,,,,,,,,,,,,,,
765072000,,,,,,,,,,,,,,,,,,,,0.304749,,,,,,,,,,,,,,,,,,,,,222800000.0,,,,,,222800000.0,,,,,,,,,,,,,,,76456362.0,,,,,,,,,,,,,,,,,,,222800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.304749,,,,,,23700000.0,,23700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23300000.0,,,,,,,,,,,,,,,,,,,,,,76456362.0,,,,,,,,,,,,,,,,,,,,,,
772934400,,,,,,,,,,,,,,,,,,,,0.042265,,,,,,,,,,,,,,,,,,,,,75600000.0,,,,,,75600000.0,,,,,,,,,,,,,,,78079712.0,,,,,,,,,,,,,,,,,,,75600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042265,,,,,,3700000.0,,3700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300000.0,,,,,,,,,,,,,,,,,,,,,,78079712.0,,,,,,,,,,,,,,,,,,,,,,
780883200,,,76932000.0,32900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.428889,,,,,,64200000.0,,,,,,64200000.0,,,76932000.0,,,33900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,64200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34600000.0,,,,,-4400000.0,498700000.0,-4400000.0,,,,498700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4900000.0,,,,,,,,,,,,,,,,,,,,,498700000.0,,,,,0.428889,,,,,,,,,,,,,,,,,,
788832000,,,,,,,,,,,,,,,,,,,,0.144589,,,,,,,,,,,,,,,,,,,,,129900000.0,,,,,,129900000.0,,,,,,,,,,,,,,,78152557.0,,,,,,,,,,,,,,,,,,,129900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.144589,,,,,,11700000.0,,11700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11300000.0,,,,,,,,,,,,,,,,,,,,,,78152557.0,,,,,,,,,,,,,,,,,,,,,,
796608000,,,,,,,,,,,,,,,,,,,,0.322545,,,,,,,,,,,,,,,,,,,,,194300000.0,,,,,,194300000.0,,,,,,,,,,,,,,,79058859.0,,,,,,,,,,,,,,,,,,,194300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.322545,,,,,,25900000.0,,25900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25500000.0,,,,,,,,,,,,,,,,,,,,,,79058859.0,,,,,,,,,,,,,,,,,,,,,,
804470400,,,,,,,,,,,,,,,,27300000.0,,,,-0.093427,,1600000.0,,,,,1600000.0,,,288700000.0,,21000000.0,,,,32900000.0,,45900000.0,,,12400000.0,,641600000.0,,,,76300000.0,,,,,,,,-193900000.0,,,,,,,81346934.0,,,835500000.0,,,95700000.0,108400000.0,,,,,,,,,,,,6700000.0,16500000.0,,,,,,,,,,,,,684700000.0,30700000.0,,42300000.0,46300000.0,,,,,,322300000.0,,,,-0.093427,,,,793100000.0,,-7200000.0,,1500000.0,,,,,,,397000000.0,,,,,,,,,,,,,,,,21700000.0,,,,,700000.0,,5700000.0,16500000.0,62000000.0,,,,-7600000.0,,,34000000.0,,,,,,,,,,,,,,,504400000.0,,0.0,,81346934.0,,,,,,,,,,,,,,,,,,,,,,
812419200,-900000.0,,79222500.0,24800000.0,-100000.0,-1100000.0,,785900000.0,,2000000.0,,-13400000.0,428600000.0,,24100000.0,25400000.0,,,400000.0,,,1100000.0,,,-53800000.0,,1100000.0,640500000.0,,279900000.0,,65500000.0,1600000.0,-15700000.0,0.313333,33800000.0,,120100000.0,,0.0,6700000.0,5500000.0,596100000.0,,,,50000000.0,2400000.0,35100000.0,79222500.0,-11200000.0,,35500000.0,27900000.0,-189800000.0,,,65500000.0,,251100000.0,18800000.0,,,203500000.0,785900000.0,128200000.0,-7000000.0,106200000.0,185900000.0,11000000.0,6500000.0,,,-189800000.0,-15400000.0,-600000.0,13600000.0,,,9500000.0,-800000.0,-100000.0,,4300000.0,63500000.0,546500000.0,-3000000.0,,,,,,,-20600000.0,640500000.0,19800000.0,11000000.0,25400000.0,53700000.0,-4400000.0,,,-26600000.0,51500000.0,352200000.0,,-26600000.0,19800000.0,,26400000.0,24500000.0,10800000.0,826400000.0,-63500000.0,-4000000.0,75300000.0,-4000000.0,,,,454600000.0,-5300000.0,,428600000.0,,33800000.0,279900000.0,352200000.0,,35900000.0,,120100000.0,,16000000.0,826400000.0,,1100000.0,53700000.0,106200000.0,35100000.0,-800000.0,,,,-400000.0,1100000.0,5700000.0,18800000.0,63500000.0,6500000.0,,,-4400000.0,,,24600000.0,,-13100000.0,,1100000.0,,100000.0,596100000.0,,,-6700000.0,1100000.0,,78300000.0,,546500000.0,,100000.0,104600000.0,,185900000.0,-1100000.0,,0.313333,,,,,,,,,,,,,,,,,,
820368000,,,,,,-1300000.0,,,,,,8300000.0,,,,39400000.0,,,,0.144589,,22400000.0,,,,,22400000.0,,,288800000.0,,21000000.0,1100000.0,,,39900000.0,,27900000.0,,,32300000.0,,627900000.0,,,,159700000.0,3300000.0,,,-15100000.0,,,-60800000.0,-189100000.0,,,,,,,85760328.0,-8900000.0,,817000000.0,,19000000.0,143000000.0,177700000.0,,,,,,7100000.0,21300000.0,13300000.0,,,,24400000.0,29900000.0,,-8300000.0,,,6200000.0,,,,,,,-10700000.0,674200000.0,60500000.0,,95900000.0,73200000.0,,,,,,315600000.0,,-8000000.0,,0.144589,,,,851900000.0,,12800000.0,,12800000.0,,,,,,,408500000.0,,,,,,,,,,,,,,,,26800000.0,-800000.0,,,,-100000.0,,5400000.0,29900000.0,55000000.0,100000.0,,,12400000.0,,,63800000.0,,75000000.0,,22400000.0,,,,,,-6800000.0,,,,,563100000.0,,100000.0,,85760328.0,,,,,,,,,,,,,,,,,,,,,,
828230400,,,,,,-1000000.0,,,,,,13400000.0,,,,46300000.0,,,,0.333667,,41400000.0,,,,,41400000.0,,,311300000.0,,21000000.0,22400000.0,,,50800000.0,,17800000.0,,,51900000.0,,632900000.0,,,,233900000.0,2600000.0,,,-8900000.0,,,-38400000.0,-193800000.0,,,,,,,80619300.0,,,826700000.0,,40800000.0,151100000.0,195700000.0,,,,,,61500000.0,19000000.0,-700000.0,,,,45700000.0,2400000.0,,100000.0,,,13500000.0,,,,,,,34700000.0,691900000.0,92200000.0,,141900000.0,97900000.0,,,,,,309000000.0,,52600000.0,,0.333667,,,,887600000.0,,27300000.0,,27300000.0,,,,,,,,,,,,,,,,,,,,,,,13400000.0,-600000.0,,,,200000.0,,5100000.0,2400000.0,55100000.0,-100000.0,,,26900000.0,,,92000000.0,,-4100000.0,,41400000.0,,,,,,-6800000.0,,,,,576300000.0,,0.0,,80619300.0,,,,,,,,,,,,,,,,,,,,,,
836092800,,,,,,-600000.0,,,,,,-15400000.0,,,,30900000.0,,,,0.026694,,14000000.0,,,,,14000000.0,,,307300000.0,,20900000.0,41400000.0,,,46100000.0,,44000000.0,,,15000000.0,,641500000.0,,,,94500000.0,800000.0,,,-14000000.0,,,400000.0,-198200000.0,,,,,,,82417068.0,,,839700000.0,,3500000.0,122100000.0,148400000.0,,,,,,-12600000.0,-27400000.0,2300000.0,,,,8700000.0,14600000.0,,3800000.0,,,900000.0,,,,,,,-21300000.0,699300000.0,52400000.0,,54900000.0,61400000.0,,,,,,303500000.0,,-26600000.0,,0.026694,,,,847700000.0,,2600000.0,,2600000.0,,,,,,,407000000.0,,,,,,,,,,,,,,,,28800000.0,-600000.0,,,,200000.0,,5300000.0,14600000.0,58900000.0,-81700000.0,,,2200000.0,,,39600000.0,,-15200000.0,,14000000.0,,,,,,-7000000.0,,,,,540400000.0,,0.0,,82417068.0,,,,,,,,,,,,,,,,,,,,,,
844041600,9700000.0,,81135000.0,37100000.0,36500000.0,-900000.0,,856500000.0,,1100000.0,,-17900000.0,409900000.0,,21000000.0,25700000.0,,,100000.0,,,10800000.0,,,-56100000.0,,10800000.0,715200000.0,,294800000.0,,66200000.0,14000000.0,-83900000.0,0.457778,32200000.0,,48500000.0,,0.0,5700000.0,-11600000.0,655200000.0,,,,60400000.0,200000.0,46800000.0,81135000.0,-18100000.0,,38700000.0,14900000.0,-201300000.0,,,66200000.0,,328000000.0,36500000.0,,,220500000.0,856500000.0,142200000.0,-6000000.0,139300000.0,140000000.0,20100000.0,-7200000.0,,,-201300000.0,1800000.0,-3200000.0,8100000.0,,,3300000.0,-500000.0,36500000.0,,-2800000.0,63300000.0,560400000.0,-1900000.0,,,,,,,600000.0,715200000.0,27000000.0,20100000.0,35200000.0,63500000.0,-3800000.0,,,-27700000.0,57400000.0,303400000.0,,-16300000.0,27000000.0,,38700000.0,1700000.0,6900000.0,855200000.0,35800000.0,-4100000.0,78300000.0,-4100000.0,,,,548500000.0,-2900000.0,,409900000.0,,32200000.0,294800000.0,303400000.0,,23000000.0,,48500000.0,,18700000.0,855200000.0,,10800000.0,63500000.0,139300000.0,46800000.0,-900000.0,,,,-200000.0,10800000.0,5200000.0,36500000.0,63300000.0,81700000.0,,,-4500000.0,,,25200000.0,,-19900000.0,,10800000.0,,-100000.0,655200000.0,,,-7100000.0,10800000.0,,57800000.0,,560400000.0,,-100000.0,104900000.0,,140000000.0,-100000.0,,0.457778,,,,,,,,,,,,,,,,,,
851990400,,,,,,-700000.0,,,,,,4400000.0,,,,36400000.0,,,,0.157936,,3300000.0,,,,,3300000.0,,,300700000.0,,20900000.0,10800000.0,,,26800000.0,,56300000.0,,,31600000.0,,653400000.0,,,,186200000.0,,,,-11300000.0,,,13600000.0,-205400000.0,,,,,,,80544456.0,-900000.0,,858800000.0,,19700000.0,202300000.0,208900000.0,,,,,,-8800000.0,-7500000.0,4800000.0,,,,25000000.0,60100000.0,,2300000.0,,,6400000.0,,,,,,,-29200000.0,715100000.0,82500000.0,,124800000.0,108200000.0,,,,,,301400000.0,,-20100000.0,,0.16016,,,,924000000.0,,13300000.0,,13300000.0,,,,,,,409900000.0,,,,,,,,,,,,,,,,42400000.0,-300000.0,,,,100000.0,,5300000.0,60100000.0,65500000.0,0.0,,,12900000.0,,,61400000.0,,-12300000.0,,3300000.0,,,,,,-7100000.0,,,,,623300000.0,,100000.0,,81678913.0,,,,,,,,,,,,,,,,,,,,,,
859766400,,,,,,-1700000.0,,,,,,27500000.0,,,,46200000.0,,,,0.349238,,7200000.0,,,,,7200000.0,,,321100000.0,,20900000.0,3300000.0,,,27300000.0,,29800000.0,,,55800000.0,,658700000.0,,,,285400000.0,,,,-10500000.0,,,-30200000.0,-209600000.0,,,,,,,81089732.0,-600000.0,,868300000.0,,44400000.0,167000000.0,185700000.0,,,,,,39800000.0,3900000.0,2000000.0,,,,49400000.0,38400000.0,,1800000.0,,,15500000.0,,,,,,,7100000.0,721700000.0,115700000.0,,189800000.0,94100000.0,,,,,,300400000.0,,29300000.0,,0.351463,,,,907400000.0,,28900000.0,,28900000.0,,,,,,,,,,,,,,,,,,,,,,,14900000.0,-500000.0,,,,100000.0,,5100000.0,38400000.0,67200000.0,0.0,,,28500000.0,,,95600000.0,,-5700000.0,,7200000.0,,,,,,-7200000.0,,,,,586300000.0,,-100000.0,,81606240.0,,,,,,,,,,,,,,,,,,,,,,
867628800,,,,,,-600000.0,,,,,,-4700000.0,,,,32100000.0,,,,0.031142,,5900000.0,,,,,5900000.0,,,312200000.0,,20800000.0,7200000.0,,,23600000.0,,61000000.0,,,15000000.0,,651100000.0,,,,121200000.0,100000.0,,,-11300000.0,,,-25200000.0,-213200000.0,,,,,,,80277439.0,-4700000.0,,864300000.0,,4000000.0,129700000.0,146800000.0,,,,,,27300000.0,-1300000.0,4600000.0,,,,8600000.0,33500000.0,,1600000.0,,,1100000.0,,,,,,,18100000.0,707800000.0,58400000.0,,80500000.0,65400000.0,,,,,,292000000.0,,16000000.0,,0.031142,,,,854600000.0,,2900000.0,,2900000.0,,,,,,,401800000.0,,,,,,,,,,,,,,,,19500000.0,-600000.0,,,,300000.0,,5000000.0,33500000.0,68700000.0,0.0,,,2500000.0,,,40700000.0,,-3400000.0,,5900000.0,,,,,,-7200000.0,,,,,542400000.0,,-100000.0,,80277439.0,,,,,,,,,,,,,,,,,,,,,,
875577600,-5300000.0,,81736454.0,39900000.0,48100000.0,-1100000.0,,878300000.0,,10800000.0,,-20000000.0,407800000.0,,20500000.0,31800000.0,,,600000.0,,,5500000.0,,,-47000000.0,,5500000.0,738700000.0,,299200000.0,,66200000.0,5900000.0,-36100000.0,0.493333,28600000.0,,46900000.0,,0.0,6500000.0,7200000.0,659400000.0,,,,101400000.0,0.0,39600000.0,81072000.0,-13900000.0,,41500000.0,5700000.0,-218900000.0,,,66200000.0,,465600000.0,48100000.0,,-1300000.0,230900000.0,878300000.0,148800000.0,-6000000.0,161100000.0,140400000.0,31200000.0,4700000.0,,,-218900000.0,8900000.0,-400000.0,4100000.0,,,5500000.0,-1000000.0,48100000.0,,-1000000.0,74400000.0,579900000.0,-2300000.0,,,,,,,9500000.0,738700000.0,44400000.0,31200000.0,70600000.0,77200000.0,-4100000.0,,,-28700000.0,62300000.0,291400000.0,,-5000000.0,44400000.0,,41500000.0,20200000.0,300000.0,879100000.0,-36400000.0,-3700000.0,82100000.0,-3700000.0,,,,696500000.0,-1400000.0,,407800000.0,,28600000.0,299200000.0,291400000.0,,15500000.0,,46900000.0,,20800000.0,879100000.0,,5500000.0,77200000.0,161100000.0,39600000.0,0.0,,,,100000.0,5500000.0,5100000.0,48100000.0,74400000.0,0.0,,,-4100000.0,,,30800000.0,,-15000000.0,,5500000.0,,0.0,659400000.0,,,-7200000.0,5500000.0,,67200000.0,,579900000.0,,0.0,109000000.0,,140400000.0,-7500000.0,,0.493333,,,,,,,,,,,,,,,,,,
883526400,,,,,,-500000.0,,,,,,-3700000.0,,,,40700000.0,,,,0.175731,,8000000.0,,,,,8000000.0,,,307100000.0,,20800000.0,5500000.0,,,22500000.0,,18100000.0,,,31900000.0,,662200000.0,,,,220400000.0,,,,-9700000.0,,,13900000.0,-224600000.0,,,,,,,79795230.0,-1300000.0,,886800000.0,,20500000.0,215100000.0,184800000.0,,,,,,-16300000.0,2600000.0,2900000.0,,,,24600000.0,77500000.0,,5600000.0,,,5900000.0,,,,,,,-39400000.0,754900000.0,85600000.0,,155100000.0,107800000.0,,,,,,284400000.0,,-26000000.0,,0.177956,,,,939700000.0,,14600000.0,,14600000.0,,,,,,,406700000.0,,,,,,,,,,,,,,,,43200000.0,,,,,1300000.0,,5500000.0,77500000.0,79900000.0,100000.0,,,14200000.0,,,65300000.0,,5000000.0,,8000000.0,,,,,,-7200000.0,,,,,632600000.0,,0.0,,80805322.0,,,,,,,,,,,,,,,,,,,,,,
891302400,,,,,,-1100000.0,,,,,,20400000.0,,,,41100000.0,,,,0.355911,,6800000.0,,,,,6800000.0,,,327600000.0,,20800000.0,8000000.0,,,27200000.0,,28400000.0,,,57800000.0,,666400000.0,,,,266600000.0,,,,-10400000.0,,,-24900000.0,-229800000.0,,,,,,,79578819.0,-5100000.0,,896200000.0,,46400000.0,180100000.0,193300000.0,,,,,,40000000.0,-1300000.0,4800000.0,,,,50600000.0,47600000.0,,-2600000.0,,,17500000.0,,,,,,,8900000.0,734900000.0,120600000.0,,174900000.0,98000000.0,,,,,,299600000.0,,29600000.0,,0.358136,,,,928200000.0,,28900000.0,,28900000.0,,,,,,,,,,,,,,,,,,,,,,,23000000.0,,,,,500000.0,,4600000.0,47600000.0,70500000.0,-100000.0,,,28500000.0,,,91700000.0,,-16300000.0,,6800000.0,,,,,,-7300000.0,,,,,600600000.0,,0.0,,80076199.0,,,,,,,,,,,,,,,,,,,,,,
