date,annualDepreciationAndAmortization,quarterlyBasicAverageShares,annualCurrentLiabilities,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyInterestExpense,annualChangeInInventory,annualStockBasedCompensation,annualStockholdersEquity,annualCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyOtherIncomeExpense,annualPurchaseOfBusiness,annualCapitalStock,quarterlyInvestmentsAndAdvances,quarterlyOperatingCashFlow,annualOperatingCashFlow,quarterlyOperatingExpense,annualGrossProfit,quarterlyChangeInCashSupplementalAsReported,annualOtherIntangibleAssets,quarterlyPurchaseOfBusiness,annualSaleOfInvestment,annualCashCashEquivalentsAndMarketableSecurities,annualNonCurrentDeferredTaxesLiabilities,quarterlyTaxProvision,annualInventory,quarterlyPretaxIncome,quarterlyNetPPE,annualEbitda,annualNetPPE,quarterlyCommonStockIssuance,quarterlyOtherCurrentLiabilities,annualNetOtherInvestingChanges,annualGrossPPE,annualOtherCurrentLiabilities,quarterlyDilutedEPS,annualChangeInCashSupplementalAsReported,quarterlyTotalNonCurrentAssets,annualGoodwill,quarterlyChangesInAccountReceivables,trailingPretaxIncome,quarterlyTotalAssets,annualInterestExpense,quarterlyDilutedAverageShares,annualBasicEPS,annualPurchaseOfInvestment,annualOtherNonCurrentLiabilities,annualRepaymentOfDebt,annualGainsLossesNotAffectingRetainedEarnings,trailingGrossProfit,quarterlyFreeCashFlow,annualAccountsPayable,trailingOtherIncomeExpense,annualOperatingIncome,quarterlySaleOfInvestment,trailingOperatingIncome,quarterlyCashAndCashEquivalents,annualInvestingCashFlow,annualCapitalExpenditure,quarterlyOtherIntangibleAssets,annualPretaxIncome,quarterlyDepreciationAndAmortization,annualIncomeTaxPayable,trailingInterestExpense,quarterlyAccountsPayable,annualEndCashPosition,trailingTotalRevenue,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashCashEquivalentsAndMarketableSecurities,annualOtherIncomeExpense,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyTotalRevenue,quarterlyStockBasedCompensation,quarterlyPurchaseOfInvestment,annualCashAndCashEquivalents,annualCurrentAccruedExpenses,quarterlyEbitda,quarterlyEndCashPosition,quarterlyInvestingCashFlow,annualTaxProvision,annualNetOtherFinancingCharges,quarterlyOperatingIncome,quarterlyChangeInAccountPayable,annualCurrentDebt,quarterlyNetIncomeCommonStockholders,annualInvestmentsAndAdvances,quarterlyGrossProfit,annualDilutedEPS,annualOperatingExpense,annualNetIncomeContinuousOperations,trailingSellingGeneralAndAdministration,annualCostOfRevenue,annualTotalRevenue,quarterlyTotalLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,quarterlyOtherNonCashItems,annualDeferredIncomeTax,annualTotalNonCurrentLiabilitiesNetMinorityInterest,trailingCostOfRevenue,annualBasicAverageShares,quarterlyCurrentAssets,quarterlyRepurchaseOfCapitalStock,annualCommonStockIssuance,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,annualRepurchaseOfCapitalStock,annualAccumulatedDepreciation,quarterlyRetainedEarnings,annualChangesInAccountReceivables,trailingNetIncomeContinuousOperations,annualCurrentAssets,annualChangeInWorkingCapital,annualOtherNonCurrentAssets,trailingOperatingExpense,annualNetIncomeCommonStockholders,trailingNetIncomeCommonStockholders,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,trailingNetIncome,quarterlyGoodwill,annualTotalAssets,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,annualTotalLiabilitiesNetMinorityInterest,annualNetIncome,quarterlyChangeInInventory,annualCashDividendsPaid,annualRetainedEarnings,annualAccountsReceivable,annualBeginningCashPosition,quarterlyLongTermDebt,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,annualFreeCashFlow,annualDilutedAverageShares,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,trailingTaxProvision,annualSellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentLiabilities,annualLongTermDebt,annualTotalNonCurrentAssets,quarterlyBasicEPS,annualOtherNonCashItems,annualOtherCurrentAssets,trailingChangeInInventory,quarterlyCurrentDeferredRevenue,trailingPurchaseOfBusiness,trailingBeginningCashPosition,annualResearchAndDevelopment,annualCurrentDeferredRevenue,trailingCashDividendsPaid,quarterlyNonCurrentDeferredRevenue,trailingChangeInCashSupplementalAsReported,trailingStockBasedCompensation,quarterlyResearchAndDevelopment,trailingCashFlowFromContinuingFinancingActivities,trailingChangeInWorkingCapital,trailingCapitalExpenditure,annualNonCurrentDeferredRevenue,trailingFreeCashFlow,trailingRepaymentOfDebt,trailingBasicAverageShares,trailingSaleOfInvestment,trailingRepurchaseOfCapitalStock,trailingDepreciationAndAmortization,trailingBasicEPS,annualOtherShortTermInvestments,trailingDeferredIncomeTax,trailingNetOtherInvestingChanges,trailingChangesInAccountReceivables,trailingOtherNonCashItems,trailingPurchaseOfInvestment,trailingEndCashPosition,quarterlyOtherShortTermInvestments,trailingNetOtherFinancingCharges,trailingDilutedEPS,trailingDilutedAverageShares,trailingResearchAndDevelopment,trailingOperatingCashFlow,trailingCommonStockIssuance,trailingChangeInAccountPayable,trailingInvestingCashFlow
1970-01-01 00:00:00.599529600,,,77000000.0,12900000.0,,,,,507900000.0,,56900000.0,,-165200000.0,,79600000.0,84100000.0,,,,,,0.0,,72400000.0,,,,,20900000.0,79600000.0,,84100000.0,,704000000.0,72400000.0,704000000.0,,64100000.0,,869200000.0,64100000.0,,,760900000.0,,,,926500000.0,23400000.0,,0.135,,76000000.0,,,,,,,38700000.0,,,20900000.0,0.0,,,34400000.0,,,,,0.0,,,20900000.0,19100000.0,,,185300000.0,,,20900000.0,,-546600000.0,,,3800000.0,,-546600000.0,,12900000.0,,,,0.135,33700000.0,30600000.0,,698200000.0,770600000.0,418600000.0,,,,341600000.0,,104444444.0,165600000.0,,,,77000000.0,869200000.0,,,,,-165200000.0,190500000.0,,,165600000.0,,56900000.0,,14100000.0,,507900000.0,,,,926500000.0,,,,418600000.0,30600000.0,,,190500000.0,,0.0,186000000.0,9900000.0,,,0.0,104444444.0,13400000.0,,,,341600000.0,76000000.0,186000000.0,760900000.0,,,13400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.607305600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201400000.0,,,,,201400000.0,,,,,201400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11400000.0,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.615168000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225900000.0,,,,,225900000.0,,,,,225900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18500000.0,,,,,,,,,,,,,0.1375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.623116800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246200000.0,,,,,246200000.0,,,,,246200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400000.0,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.631065600,34400000.0,,121700000.0,21500000.0,,,,,530900000.0,5700000.0,64200000.0,,-197900000.0,,96300000.0,126600000.0,,,18400000.0,,,43400000.0,,104100000.0,,,,,15100000.0,96300000.0,,126600000.0,,706300000.0,104100000.0,706300000.0,,19700000.0,-18400000.0,904200000.0,19700000.0,,-5800000.0,770500000.0,,,,1017600000.0,24400000.0,,0.245,,46800000.0,,,,,80500000.0,,69700000.0,,,15100000.0,-54900000.0,-36900000.0,,59300000.0,,,,80500000.0,0.0,,,15100000.0,14000000.0,,18400000.0,267800000.0,,,15100000.0,,-603800000.0,,,17800000.0,0.0,-603800000.0,,21500000.0,,,,0.2375,34400000.0,41500000.0,,837200000.0,941300000.0,486700000.0,,,16700000.0,365000000.0,,115102041.0,247100000.0,,,,121700000.0,904200000.0,,,,-5800000.0,-197900000.0,213400000.0,,,247100000.0,-51300000.0,64200000.0,,28200000.0,,530900000.0,,,,1017600000.0,,,,486700000.0,41500000.0,,-18500000.0,213400000.0,,20900000.0,221900000.0,7200000.0,,,6500000.0,118736842.0,23900000.0,,,,365000000.0,46800000.0,221900000.0,770500000.0,,8600000.0,23900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.638841600,,143636364.0,,28500000.0,-8600000.0,6300000.0,,,,,61900000.0,0.0,-206300000.0,-22500000.0,100600000.0,118100000.0,4900000.0,,,,22400000.0,,34700000.0,,-7400000.0,,,,,,5000000.0,,14700000.0,705500000.0,,,,23200000.0,,,,0.055,,767400000.0,,,,993700000.0,,143636364.0,,,,,,,13800000.0,,,,,,7600000.0,,,,,8700000.0,,,62800000.0,,,,7600000.0,,15100000.0,18500000.0,260400000.0,,,,,24800000.0,0.0,-7400000.0,,,16100000.0,,,7900000.0,,50800000.0,,,,,,,456800000.0,,4400000.0,,,,,226300000.0,-900000.0,,-3600000.0,114500000.0,911800000.0,,-800000.0,4300000.0,,,219600000.0,,,,,,,,,536900000.0,1100000.0,,,,209600000.0,,,,,,,,,,196400000.0,9700000.0,9700000.0,26000000.0,,,24300000.0,,,,342300000.0,45300000.0,,,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.646704000,,141960784.0,,40300000.0,-22300000.0,6000000.0,,,,,63100000.0,-100000.0,-214700000.0,-16400000.0,109500000.0,138500000.0,3900000.0,,,,41800000.0,,34100000.0,,-1600000.0,,,,,,9500000.0,,29400000.0,717800000.0,,,,20000000.0,,,,0.1275,,780900000.0,,,,1007700000.0,,141960784.0,,,,,,,19500000.0,,,,,,6100000.0,,,,,8700000.0,,,68200000.0,,,,6100000.0,,0.0,18500000.0,276300000.0,,,,,40200000.0,0.0,-26900000.0,,,31500000.0,,,18100000.0,,65600000.0,,,,,,,454900000.0,,200000.0,,,,,226800000.0,0.0,,-4200000.0,128500000.0,932500000.0,,200000.0,8900000.0,,,235200000.0,,,,,,,,,552800000.0,-6600000.0,,,,210700000.0,,,,,,,,,,172500000.0,19900000.0,19900000.0,25400000.0,,,19100000.0,,,,326400000.0,44400000.0,,,0.1275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.654652800,,157894737.0,,1600000.0,-36300000.0,3900000.0,,,,,86900000.0,200000.0,-223200000.0,-5000000.0,123600000.0,171700000.0,11800000.0,,,,73600000.0,,42100000.0,,2900000.0,,,,,,16400000.0,,48200000.0,745200000.0,,,,26700000.0,,,,0.19,,832100000.0,,,,1144100000.0,,157894737.0,,,,,,,37300000.0,,,,,,9000000.0,,,,,8800000.0,,,155800000.0,,,,9000000.0,,0.0,18500000.0,296600000.0,,,,,49000000.0,0.0,-65700000.0,,,40200000.0,,,30000000.0,,82300000.0,,,,,,,494900000.0,,8200000.0,,,,,312000000.0,,,-4700000.0,184100000.0,968400000.0,,11900000.0,14100000.0,,,262300000.0,,,,,,,,,649200000.0,-29400000.0,,,,214300000.0,,,,,,,,,,141800000.0,31800000.0,31800000.0,33300000.0,,,27700000.0,,,,310800000.0,45400000.0,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.662601600,35600000.0,,149400000.0,1600000.0,-70600000.0,1900000.0,,,675300000.0,52800000.0,133000000.0,-100000.0,-231800000.0,96700000.0,141400000.0,169500000.0,8600000.0,,17300000.0,,58600000.0,196400000.0,38600000.0,283900000.0,42800000.0,,,,51700000.0,141400000.0,20000000.0,169500000.0,53300000.0,806000000.0,170000000.0,806000000.0,-3100000.0,30800000.0,-77100000.0,1037800000.0,30800000.0,,36700000.0,939000000.0,,,,1254000000.0,18100000.0,,0.5775,,40500000.0,,,,-12000000.0,117000000.0,,134400000.0,,,51700000.0,-212500000.0,-137800000.0,,145600000.0,9400000.0,,,117000000.0,0.0,,,51700000.0,29300000.0,0.0,17300000.0,335600000.0,,,51700000.0,,56000000.0,0.0,-112500000.0,50900000.0,0.0,46600000.0,,1600000.0,31500000.0,,85200000.0,0.5775,149500000.0,94700000.0,,885000000.0,1168900000.0,578700000.0,,6100000.0,46600000.0,429300000.0,,151688312.0,315000000.0,,64400000.0,-4600000.0,149400000.0,1037800000.0,,5200000.0,19300000.0,-1200000.0,-231800000.0,291000000.0,,,315000000.0,16500000.0,133000000.0,,87600000.0,,675300000.0,-42200000.0,,,1254000000.0,250400000.0,,,578700000.0,94700000.0,,-17100000.0,291000000.0,,15100000.0,247400000.0,33300000.0,33300000.0,29200000.0,58600000.0,151688312.0,23900000.0,,,113900000.0,429300000.0,40500000.0,247400000.0,939000000.0,,18900000.0,23900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.670377600,,160851064.0,,1700000.0,-48900000.0,4500000.0,,,,,149500000.0,-100000.0,-240100000.0,86700000.0,151300000.0,120400000.0,9100000.0,,,,103300000.0,,37600000.0,,121200000.0,,,,,,10600000.0,,31200000.0,845600000.0,,,,35300000.0,,,,0.1175,,995100000.0,,,,1381500000.0,,160851064.0,,,,,,,54400000.0,,,,,,172900000.0,,,,,8700000.0,,,120100000.0,,,,172900000.0,,51700000.0,17300000.0,286900000.0,,,,,35300000.0,0.0,-68900000.0,,,26600000.0,,,18900000.0,,64200000.0,,,,,,,692200000.0,,4900000.0,,,,,386400000.0,-2800000.0,,-4600000.0,157100000.0,1085700000.0,,57300000.0,9900000.0,,,307100000.0,,,,,,,,,689300000.0,-20100000.0,,,,222700000.0,,,,,,,,,,340900000.0,20600000.0,20600000.0,28900000.0,,,20800000.0,,,,535100000.0,42900000.0,,,0.1175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.678240000,,162068966.0,,1700000.0,-40300000.0,6000000.0,,,,,149700000.0,100000.0,-249100000.0,-5400000.0,163500000.0,104600000.0,8400000.0,,,,14100000.0,,38300000.0,,-30200000.0,,,,,,12900000.0,,38100000.0,876800000.0,,,,34000000.0,,,,0.145,,1026500000.0,,,,1366100000.0,,162068966.0,,,,,,,-26200000.0,,,,,,142700000.0,,,,,9200000.0,,,76500000.0,,,,142700000.0,,0.0,17300000.0,273000000.0,,,,,44800000.0,0.0,-38700000.0,,,35600000.0,,,23500000.0,,73900000.0,,,,,,,656700000.0,,3900000.0,,,,,339600000.0,0.0,,-5400000.0,112200000.0,1125900000.0,,-28200000.0,12200000.0,,,326900000.0,,,,,,,,,709400000.0,1600000.0,,,,199100000.0,,,,,,,,,,340800000.0,25200000.0,25200000.0,29100000.0,,,27600000.0,,,,544500000.0,40200000.0,,,0.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.686188800,,162857143.0,,1800000.0,-60700000.0,4100000.0,,,,,158500000.0,0.0,-258300000.0,-26700000.0,177400000.0,140800000.0,10100000.0,,,,39300000.0,,39500000.0,,-53500000.0,,,,,,14200000.0,,44200000.0,928000000.0,,,,39600000.0,,,,0.175,,1086500000.0,,,,1401700000.0,,162857143.0,,,,,,,-21400000.0,,,,,,89200000.0,,,,,9200000.0,,,96300000.0,,,,89200000.0,,0.0,17300000.0,256500000.0,,,,,47500000.0,0.0,-66100000.0,,,38200000.0,,,28500000.0,,77700000.0,,,,,,,695900000.0,,3800000.0,,,,,315200000.0,-21100000.0,,-5400000.0,137700000.0,1186300000.0,,-3700000.0,13900000.0,,,350300000.0,,,,,,,,,705800000.0,-5500000.0,,,,178800000.0,,,,,,,,,,340000000.0,30000000.0,30000000.0,30200000.0,,,26400000.0,,,,558200000.0,40800000.0,,,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.694137600,36600000.0,,167700000.0,1800000.0,-79800000.0,-2100000.0,,,702600000.0,67100000.0,194400000.0,-100000.0,-266900000.0,12500000.0,186000000.0,184900000.0,12000000.0,,16100000.0,,26100000.0,182800000.0,36600000.0,271200000.0,-75400000.0,,,,13900000.0,186000000.0,10000000.0,184900000.0,32800000.0,998200000.0,155900000.0,998200000.0,,33000000.0,-58500000.0,1265100000.0,33000000.0,,-37900000.0,1192600000.0,,,,1480900000.0,12500000.0,,0.57,,44700000.0,,,,-53700000.0,132900000.0,,119300000.0,,,13900000.0,-287800000.0,-229700000.0,,146400000.0,9500000.0,,,132900000.0,0.0,,,13900000.0,39600000.0,0.0,16100000.0,195400000.0,,,13900000.0,,28300000.0,0.0,-114100000.0,47700000.0,-100000.0,18800000.0,,1800000.0,21800000.0,,55400000.0,0.57,151900000.0,98700000.0,,740600000.0,1011800000.0,778300000.0,,5500000.0,45500000.0,610600000.0,,162631579.0,288300000.0,-22300000.0,,-5000000.0,167700000.0,1265100000.0,,-18500000.0,9500000.0,-46200000.0,-266900000.0,366900000.0,,,288300000.0,6900000.0,194400000.0,,92700000.0,,702600000.0,-34500000.0,,,1480900000.0,140000000.0,,,778300000.0,98700000.0,,-20400000.0,366900000.0,,51700000.0,379900000.0,22800000.0,22800000.0,27100000.0,-46900000.0,162631579.0,33200000.0,,,115300000.0,610600000.0,44700000.0,379900000.0,1192600000.0,,18100000.0,33200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.702000000,,163333333.0,,1900000.0,-63700000.0,6500000.0,,,,,191800000.0,0.0,-276100000.0,40100000.0,194800000.0,152400000.0,4600000.0,,,,19600000.0,,11300000.0,,-4200000.0,,,,,,10700000.0,,30800000.0,1050500000.0,,,74200000.0,39600000.0,,,,0.12,,1242300000.0,,,,1512700000.0,,163333333.0,,,,,,,-44100000.0,,,,,,9700000.0,,,,,11300000.0,,,90800000.0,,,,9700000.0,,13900000.0,16100000.0,275100000.0,,-1300000.0,,,44000000.0,0.0,-63900000.0,,,32700000.0,,,19600000.0,,44000000.0,,,,,,,718700000.0,,1400000.0,,,,,270400000.0,,,-4000000.0,132300000.0,1326600000.0,,-21900000.0,8700000.0,,,383000000.0,,,,,,,,,794000000.0,1000000.0,,,,231100000.0,,,,,,,,,,349000000.0,20100000.0,20100000.0,,,,23500000.0,,,,586400000.0,42600000.0,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.709862400,,172063492.0,,1300000.0,-125400000.0,8300000.0,,,,,192000000.0,100000.0,-288900000.0,90900000.0,203000000.0,145200000.0,7100000.0,,,,74100000.0,,42800000.0,,32200000.0,,,,,,16500000.0,,43900000.0,1162600000.0,,,-9400000.0,37400000.0,,,,0.1575,,1354600000.0,,,,1679000000.0,,172063492.0,,,,,,,-51300000.0,,,,,,41900000.0,,,,,13000000.0,,,136700000.0,,,,41900000.0,,0.0,16100000.0,319100000.0,,,,,58200000.0,0.0,-132700000.0,,,45200000.0,,,27100000.0,,88000000.0,,,,,,,871600000.0,,8000000.0,,,,,324400000.0,,,-5100000.0,175400000.0,1451500000.0,,22100000.0,8300000.0,,,405400000.0,,,,,,,,,807400000.0,-8800000.0,,,,231100000.0,,,,,,,,,,455000000.0,27400000.0,27400000.0,29800000.0,,,38400000.0,,,,696200000.0,38200000.0,,,0.1575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.717811200,,171076923.0,,30300000.0,-51100000.0,8000000.0,,,,,208900000.0,0.0,-300200000.0,29300000.0,207400000.0,176700000.0,11000000.0,,,,6100000.0,,41600000.0,,-34400000.0,,,,,,15100000.0,,43200000.0,1201700000.0,,,400000.0,46800000.0,,,,0.1625,,1410600000.0,,,,1742800000.0,,171076923.0,,,,,,,-45000000.0,,,,,,7500000.0,,,,,11700000.0,,,127400000.0,,,,7500000.0,,0.0,16100000.0,336700000.0,,,,,51900000.0,0.0,-69900000.0,,,40200000.0,,,27800000.0,,81800000.0,,,,,,,910900000.0,,-700000.0,,,,,332200000.0,,,-5100000.0,204500000.0,1501900000.0,,-42200000.0,4400000.0,,,428400000.0,,,,,,,,,831900000.0,-19000000.0,,,,254900000.0,,,,,,,,,,459400000.0,28100000.0,28100000.0,29900000.0,,,41700000.0,,,,706400000.0,39600000.0,,,0.1625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.725760000,48200000.0,,174500000.0,23000000.0,-42600000.0,7700000.0,,,835800000.0,170500000.0,222200000.0,-100000.0,-311300000.0,10200000.0,226200000.0,146400000.0,5200000.0,,15000000.0,,52700000.0,152500000.0,-78400000.0,182200000.0,700000.0,,,,8200000.0,226200000.0,5200000.0,146400000.0,13400000.0,1232100000.0,182200000.0,1232100000.0,800000.0,38000000.0,-38500000.0,1543400000.0,38000000.0,,-5700000.0,1454300000.0,,,,1759100000.0,30400000.0,,0.485,-8600000.0,40200000.0,,,,10100000.0,113500000.0,,134000000.0,,,8200000.0,-328700000.0,-282800000.0,,131400000.0,12200000.0,,,113500000.0,0.0,,,8200000.0,27800000.0,0.0,15000000.0,303700000.0,,,8200000.0,,28100000.0,0.0,-62200000.0,47500000.0,0.0,15900000.0,,23000000.0,7800000.0,,-62500000.0,0.485,48200000.0,83900000.0,,1052400000.0,1234600000.0,923300000.0,,11400000.0,26200000.0,748800000.0,,169896907.0,304800000.0,,66000000.0,-5000000.0,174500000.0,1543400000.0,,16100000.0,4800000.0,-1200000.0,-311300000.0,431600000.0,,,304800000.0,-25900000.0,222200000.0,,82400000.0,,835800000.0,-11700000.0,,,1759100000.0,366200000.0,,,923300000.0,83900000.0,,-19200000.0,431600000.0,,13900000.0,482400000.0,8200000.0,8200000.0,,-130300000.0,169896907.0,50400000.0,,,,748800000.0,40200000.0,482400000.0,1454300000.0,,20100000.0,50400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.733536000,,170000000.0,,20500000.0,-43200000.0,7500000.0,,,,,236300000.0,100000.0,-323900000.0,15500000.0,227400000.0,121100000.0,7100000.0,,,,36000000.0,,46900000.0,,-100000.0,,,,,,8700000.0,,24300000.0,1262300000.0,,,1100000.0,40300000.0,,,,0.09,,1498600000.0,,,,1777600000.0,,170000000.0,,,,,,,-7200000.0,,,,,,8100000.0,,,,,17100000.0,,,92100000.0,,,,8100000.0,,8200000.0,15000000.0,295800000.0,,,,,41700000.0,0.0,-51500000.0,,,24600000.0,,,15300000.0,,71500000.0,,,,,,,929200000.0,,,,,,,279000000.0,,,-5100000.0,152900000.0,1586200000.0,,,4600000.0,,,442200000.0,,,,,,,,,848400000.0,-8500000.0,,,,224300000.0,,,,,,,,,,503600000.0,15600000.0,15600000.0,29800000.0,,,37800000.0,,,,776300000.0,45300000.0,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.741398400,,174285714.0,,23300000.0,-28400000.0,6600000.0,,,,,236800000.0,5000000.0,-336800000.0,8000000.0,235400000.0,146900000.0,7400000.0,,,,21600000.0,,12900000.0,,-300000.0,,,,,,14200000.0,,38900000.0,1277600000.0,,,300000.0,37700000.0,,,,0.14,,1514400000.0,,,,1821900000.0,,174285714.0,,,,,,,-6800000.0,,,,,,7800000.0,,,,,8400000.0,,,99600000.0,,,,7800000.0,,0.0,15000000.0,321100000.0,,,,,51000000.0,0.0,-29900000.0,,,38100000.0,,,24400000.0,,51000000.0,,,,,,,953300000.0,,,,,,,307500000.0,,,,160600000.0,1614400000.0,,,7700000.0,,,461800000.0,,,,,,,,,868600000.0,-1800000.0,,,,270100000.0,,,,,,,,,,513600000.0,24700000.0,24700000.0,,,,53800000.0,,,,792700000.0,43700000.0,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.749347200,,169230769.0,,26500000.0,-14500000.0,11600000.0,,,,,225500000.0,-15100000.0,-331800000.0,-26100000.0,251100000.0,157900000.0,13200000.0,,,,43600000.0,,19500000.0,,32000000.0,,,,,,20800000.0,,32100000.0,1258300000.0,,,300000.0,42900000.0,,,,0.065,,1483800000.0,,,,1819300000.0,,169230769.0,,,,,,,29100000.0,,,,,,39800000.0,,,,,33100000.0,,,102300000.0,,,,39800000.0,,0.0,13800000.0,323400000.0,,,,,63600000.0,0.0,14500000.0,,,30500000.0,,,11000000.0,,50000000.0,,,,,,,950200000.0,,,,,,,335500000.0,,,,171700000.0,1590100000.0,,,14300000.0,,,462100000.0,,,,,,,,,869100000.0,3100000.0,,,,273400000.0,,,,,,,,,,488400000.0,11300000.0,11300000.0,,,,55200000.0,,,,778500000.0,39000000.0,,,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.757296000,79500000.0,,153000000.0,28700000.0,-73500000.0,11500000.0,,,856100000.0,-8100000.0,235300000.0,0.0,-346600000.0,-5500000.0,232600000.0,113400000.0,2100000.0,,13800000.0,,40100000.0,141300000.0,20900000.0,155000000.0,-32500000.0,,,,7300000.0,232600000.0,-11900000.0,113400000.0,-27100000.0,1293600000.0,155000000.0,1293600000.0,2100000.0,33300000.0,1000000.0,1640200000.0,33300000.0,,-900000.0,1528900000.0,,,,1764400000.0,37200000.0,,0.205,-6200000.0,37100000.0,,,,-33400000.0,91000000.0,,75500000.0,,,7300000.0,-134100000.0,-159600000.0,,68200000.0,20900000.0,,,91000000.0,0.0,,,7300000.0,29900000.0,0.0,13800000.0,282000000.0,,-1100000.0,7300000.0,,3200000.0,0.0,-67200000.0,31800000.0,100000.0,-17700000.0,,28700000.0,-15500000.0,,3200000.0,0.205,79500000.0,36400000.0,,1067200000.0,1222200000.0,908300000.0,,,15300000.0,755300000.0,,171219512.0,235500000.0,,3800000.0,-5900000.0,153000000.0,1640200000.0,,66800000.0,-11300000.0,-1200000.0,-346600000.0,446900000.0,,,235500000.0,39000000.0,235300000.0,,35100000.0,,856100000.0,8200000.0,,,1764400000.0,278800000.0,,,908300000.0,36400000.0,,-21100000.0,446900000.0,,8200000.0,485600000.0,-15200000.0,-15200000.0,,-18300000.0,171219512.0,50300000.0,,,,755300000.0,37100000.0,485600000.0,1528900000.0,,-22000000.0,50300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
